"","trait","light","light_sd","SST","SST_sd"
"1","cc","-0.001","0.04","0.01","0.1"
"2","chla","-0.025","0.14","0.03","0.17"
"3","chlb","0.01","-0.28","-0.01","-1.03"
"4","chlc","0.007","-0.19","-0.04","-0.94"
"5","chlca","0.009","-0.41","-0.02","-1.05"
"6","dens","0.007","0.08","-0.04","-0.12"
"7","h13c","0.037","-0.3","-0.09","-0.77"
"8","h15n","0.027","0.02","0.06","-0.15"
"9","HCN","-0.018","-0.21","0","0.33"
"10","hpro","0.01","-0.11","-0.06","-0.75"
"11","s13c","-0.005","-0.08","0.01","-0.05"
"12","s15n","0.028","-0.02","0.08","-0.03"
"13","sc","0.004","0.26","0.01","0.02"
"14","SCN","-0.009","0.09","0.06","0.42"
"15","spro","-0.002","-0.18","0.04","0.08"
